district,subway,school,per_price
宝安,1,0,5.9637
宝安,1,0,2.7901
宝安,1,1,3.8285
宝安,1,1,2.8953
宝安,0,1,2.4074
宝安,1,1,6.8095
宝安,1,0,9.7528
宝安,1,1,6.1836
宝安,1,1,7.4358
宝安,0,0,2.6086
宝安,1,0,2.33
宝安,1,0,2.1559
宝安,0,1,2.2789
宝安,1,1,10.9868
宝安,1,1,4.6544
宝安,1,1,10.6382
宝安,1,1,3.2232
宝安,1,1,2.4151
宝安,1,1,11.178
宝安,1,0,3.1294
宝安,1,1,3.0224
宝安,1,1,3.3734
宝安,1,1,8.1012
宝安,1,0,2.378
宝安,1,0,3.3333
宝安,0,0,3.0801
宝安,0,0,3.0337
宝安,1,1,3.9405
宝安,0,1,2.9197
宝安,1,1,7.4107
宝安,1,0,6.7967
宝安,1,0,4.0631
宝安,1,0,9.8423
宝安,1,1,6.4409
宝安,1,1,5.7226
宝安,1,1,5.6725
宝安,0,0,3.0478
宝安,1,1,2.629
宝安,1,1,7.9874
宝安,1,1,13.2278
宝安,1,1,9.3277
宝安,0,0,1.6272
宝安,1,1,4.2845
宝安,1,0,3.16
宝安,1,0,6.8284
宝安,1,0,3.5787
宝安,1,0,6.5281
宝安,1,1,3.0194
宝安,1,0,2.3276
宝安,0,0,4.7851
宝安,1,1,12.3008
宝安,1,1,11.5349
宝安,1,1,12.0391
宝安,1,0,11.3636
宝安,1,0,12.486
宝安,1,0,14.0291
宝安,1,1,2.7014
宝安,1,0,12.1743
宝安,1,0,13.3522
宝安,1,0,14.8367
宝安,1,0,10.3166
宝安,1,0,13.0047
宝安,1,0,11.3015
宝安,1,0,2.4917
宝安,1,0,3.1647
宝安,1,0,3.1785
宝安,0,0,1.3656
宝安,1,1,6.5796
宝安,1,0,5.471
宝安,1,0,12.9831
宝安,1,0,12.7118
宝安,1,1,9.7187
宝安,1,0,6.9812
宝安,0,0,3.0605
宝安,0,0,1.7415
宝安,1,0,5.0432
宝安,0,0,1.956
宝安,1,0,12.8793
宝安,1,0,10.6539
宝安,1,1,6.4997
宝安,1,0,2.9069
宝安,1,1,2.2
宝安,1,0,2.6685
宝安,1,0,4.1322
宝安,1,0,7.4934
宝安,1,0,1.3538
宝安,1,0,3.125
宝安,1,0,2.5384
宝安,1,0,16.1042
宝安,1,0,1.625
宝安,1,1,10.1247
宝安,1,0,4.7721
宝安,1,1,8.1578
宝安,1,1,6.549
宝安,0,0,1.7
宝安,1,0,7.1242
宝安,1,1,5.9795
宝安,1,1,4.3602
宝安,1,0,3.9908
宝安,1,0,1.5776
宝安,1,1,11.2255
宝安,1,0,11.6815
宝安,1,1,8.7006
宝安,1,0,2.3529
宝安,0,0,0.9333
宝安,1,0,15.3261
宝安,1,1,7.7
宝安,1,0,11.497
宝安,0,0,7.0791
宝安,1,1,5.8622
宝安,0,0,0.6758
宝安,1,0,6.3076
宝安,1,0,4.6204
宝安,1,0,2.4827
宝安,1,1,6.6837
宝安,1,0,6.3854
宝安,1,1,7.0671
宝安,1,1,6.4325
宝安,1,1,3.4287
宝安,1,1,3.0058
宝安,1,1,6.4449
宝安,1,1,12.0472
宝安,1,0,12.8271
宝安,0,0,2.4523
宝安,1,0,14.3505
宝安,1,0,5.4378
宝安,1,0,13.1482
宝安,0,0,4.6171
宝安,1,1,6.7911
宝安,0,0,1.5476
宝安,0,0,8.8804
宝安,0,1,2.2692
宝安,0,0,7.6541
宝安,1,0,8.9248
宝安,1,0,10.9957
宝安,1,0,3.814
宝安,1,0,4.9206
宝安,1,0,6.0039
宝安,0,0,2.4473
宝安,1,0,1.8266
宝安,1,0,4.6296
宝安,1,0,10.7138
宝安,0,1,2.1428
宝安,1,1,6.3414
宝安,1,0,15.2463
宝安,1,0,11.0122
宝安,0,0,7.0
宝安,1,0,7.2156
宝安,1,0,4.3935
宝安,1,0,4.8148
宝安,1,0,7.0558
宝安,0,1,5.3757
宝安,1,0,11.5032
宝安,1,0,1.5555
宝安,0,0,2.0235
宝安,1,1,3.6707
宝安,1,0,8.4883
宝安,1,1,7.6751
宝安,1,1,6.4508
宝安,1,1,7.2136
宝安,1,0,7.6979
宝安,1,0,11.7995
宝安,1,1,13.1756
宝安,1,1,7.0377
宝安,1,0,15.8336
宝安,1,0,3.1111
宝安,0,0,1.4276
宝安,0,0,4.3223
宝安,0,0,4.5255
宝安,1,0,1.215
宝安,1,1,5.5916
宝安,1,1,3.7492
宝安,1,0,3.6292
宝安,1,0,2.9714
宝安,1,0,2.8193
宝安,1,0,4.3302
宝安,1,1,7.525
宝安,1,1,3.363
宝安,0,0,1.0909
宝安,0,0,1.641
宝安,0,0,1.6923
宝安,1,1,6.8673
宝安,1,1,7.4173
宝安,0,1,5.6958
宝安,1,0,1.5745
宝安,0,0,2.2255
宝安,1,0,13.7655
宝安,1,0,7.4553
宝安,1,0,4.6516
宝安,1,0,13.7496
宝安,1,0,2.5833
宝安,0,0,7.0001
宝安,1,0,9.5864
宝安,1,1,10.909
宝安,1,0,1.2
宝安,1,0,15.8336
宝安,1,1,3.5151
宝安,1,0,12.5628
宝安,1,1,2.62
宝安,1,0,4.7975
宝安,1,0,1.4285
宝安,1,0,3.944
宝安,1,0,10.6191
宝安,1,1,2.85
宝安,1,0,10.7758
宝安,1,1,4.3548
宝安,1,0,10.4417
宝安,1,0,12.363
宝安,1,0,10.3503
宝安,0,0,1.7142
宝安,1,0,12.3595
宝安,1,0,11.0986
宝安,1,0,10.1134
宝安,1,0,11.1111
宝安,1,1,8.4329
宝安,1,1,5.6617
宝安,1,1,13.1428
宝安,1,1,12.3484
宝安,1,1,6.2992
宝安,1,0,8.6746
宝安,0,1,4.3046
宝安,1,0,2.7949
宝安,1,0,1.7875
宝安,1,0,3.9408
宝安,1,1,4.9909
宝安,1,1,5.0055
宝安,1,0,3.0949
宝安,1,0,4.1545
宝安,1,1,3.0331
宝安,0,0,1.6285
宝安,1,0,17.8181
宝安,1,0,2.9906
宝安,1,0,13.7568
宝安,1,0,5.1554
宝安,1,0,2.6153
宝安,1,0,11.4763
宝安,1,0,4.0952
宝安,0,0,4.7712
宝安,1,1,5.1326
宝安,0,1,5.4969
宝安,1,1,4.4655
宝安,0,0,1.9322
宝安,1,1,5.8881
宝安,1,1,3.1802
宝安,1,1,10.0996
宝安,1,1,5.103
宝安,1,0,10.0321
宝安,1,0,3.875
宝安,0,0,3.6916
宝安,1,0,6.2804
宝安,1,1,5.4854
宝安,1,0,9.1548
宝安,1,1,2.735
宝安,1,1,6.8907
宝安,1,1,3.1663
宝安,1,0,1.2921
宝安,1,1,2.7912
宝安,1,0,8.8416
宝安,1,0,4.5442
宝安,1,0,2.6923
宝安,1,1,4.7905
宝安,1,1,3.9134
宝安,1,0,4.6276
宝安,1,1,8.2944
宝安,0,1,2.3333
宝安,1,1,7.8768
宝安,1,0,10.7865
宝安,1,0,11.9011
宝安,1,0,0.7859
宝安,1,0,7.7213
宝安,1,1,5.8399
宝安,1,1,2.8669
宝安,1,1,11.6763
宝安,1,0,10.2413
宝安,1,1,5.3365
宝安,1,0,8.9361
宝安,1,0,2.5238
宝安,1,0,13.1417
宝安,1,1,5.0255
宝安,1,1,6.0987
宝安,1,0,5.2917
宝安,0,0,2.896
宝安,1,0,9.1605
宝安,1,0,11.5517
宝安,1,1,7.2009
宝安,1,1,5.7243
宝安,1,0,4.7189
宝安,1,1,3.4109
宝安,1,0,1.3571
宝安,1,0,11.2359
宝安,1,0,7.6628
宝安,1,0,4.1666
宝安,1,0,7.5813
宝安,1,0,13.8974
宝安,0,0,5.5392
宝安,1,0,1.3411
宝安,1,0,6.7905
宝安,0,0,1.3103
宝安,1,0,12.2189
宝安,1,1,6.9886
宝安,0,0,3.5934
宝安,1,0,5.7666
宝安,0,0,9.8876
宝安,1,0,6.2384
宝安,0,1,5.1999
宝安,1,1,7.4683
宝安,1,0,0.7987
宝安,1,1,3.7492
宝安,1,0,3.3378
宝安,0,0,1.1235
宝安,1,0,1.8272
宝安,1,0,4.4258
宝安,1,0,2.923
宝安,1,0,3.8921
宝安,1,0,14.2722
宝安,0,0,6.7653
宝安,1,1,6.8518
宝安,1,0,1.6388
宝安,1,1,8.2436
宝安,1,1,12.8156
宝安,1,0,8.5959
宝安,1,1,2.3782
宝安,1,1,7.7027
宝安,1,0,3.8202
宝安,0,0,9.1019
宝安,1,0,4.5809
宝安,0,0,2.0285
宝安,1,0,13.3059
宝安,1,0,1.1733
宝安,1,0,10.0
宝安,1,0,6.5633
宝安,1,0,2.431
宝安,0,0,1.0833
宝安,1,0,11.7927
宝安,1,0,14.6587
宝安,1,0,8.6271
宝安,1,0,10.6786
宝安,1,1,5.1333
宝安,1,0,1.8284
宝安,1,1,1.3333
宝安,0,1,4.4678
宝安,1,0,4.9929
宝安,1,1,8.3793
宝安,0,0,2.3142
宝安,1,0,3.8987
宝安,0,0,1.4941
宝安,1,1,3.4735
宝安,1,1,3.0103
宝安,0,0,3.2676
宝安,1,0,6.9971
宝安,0,1,3.2286
宝安,1,0,12.8873
宝安,1,0,8.5666
宝安,1,1,7.5862
宝安,0,0,1.1282
宝安,1,1,9.1415
宝安,0,0,1.1323
宝安,1,0,4.879
宝安,1,1,11.2283
宝安,1,1,1.2941
宝安,1,0,6.813
宝安,0,0,2.3255
宝安,1,0,1.1275
宝安,1,1,7.1684
宝安,1,1,8.9803
宝安,1,1,3.2496
宝安,1,1,7.2786
宝安,0,0,3.6831
宝安,1,0,14.9124
宝安,1,0,3.309
宝安,1,1,6.1031
宝安,0,0,2.1082
宝安,1,0,4.8319
宝安,1,1,3.8711
宝安,1,0,8.6211
宝安,1,0,14.075
宝安,1,1,3.2902
宝安,1,0,15.4037
宝安,1,0,2.9654
宝安,1,0,9.7752
宝安,1,1,8.1719
宝安,1,0,14.8168
宝安,1,1,3.3198
宝安,1,1,3.6633
宝安,1,1,4.7258
宝安,1,1,4.1176
宝安,1,1,6.9792
宝安,1,0,13.8996
宝安,1,0,9.8753
宝安,1,1,3.2153
宝安,1,0,3.6154
宝安,0,0,1.3043
宝安,1,0,2.8162
宝安,1,1,12.3779
宝安,1,1,13.279
宝安,1,1,4.1381
宝安,1,0,4.0111
宝安,1,0,12.3456
宝安,1,1,3.826
宝安,1,0,6.0972
宝安,1,0,8.5934
宝安,1,0,12.8635
宝安,0,0,3.5714
宝安,1,1,8.6597
宝安,1,1,7.9024
宝安,1,0,1.5116
宝安,1,0,11.4478
宝安,1,1,4.8432
宝安,1,0,10.2586
宝安,1,0,14.1891
宝安,1,0,4.1481
宝安,1,0,10.0
宝安,1,1,8.2599
宝安,1,0,14.1431
宝安,1,0,10.0512
宝安,1,0,7.7098
宝安,0,0,0.875
宝安,1,0,13.3795
宝安,1,1,2.6496
宝安,1,0,10.5936
宝安,1,0,6.6159
宝安,1,1,4.1391
宝安,1,0,4.3899
宝安,1,0,1.5591
宝安,1,0,5.6407
宝安,1,0,1.1797
宝安,1,0,2.2988
宝安,1,1,7.5902
宝安,1,1,6.4124
宝安,1,1,7.3077
宝安,1,0,7.6539
宝安,1,0,10.3448
宝安,1,0,1.5384
宝安,1,0,1.4599
宝安,1,0,9.9438
宝安,1,1,7.4845
宝安,1,0,12.2276
宝安,0,0,3.4614
宝安,1,1,4.8258
宝安,1,0,1.3
宝安,0,0,1.1475
宝安,1,1,3.2782
宝安,1,0,14.7972
宝安,1,1,8.4529
宝安,1,1,5.3481
宝安,1,1,3.0477
宝安,1,1,8.168
宝安,1,0,2.6428
宝安,1,1,6.1059
宝安,1,1,3.468
宝安,1,0,10.9326
宝安,1,0,4.3293
宝安,1,0,11.3684
宝安,1,0,6.9971
宝安,1,0,3.9004
宝安,1,1,3.1162
宝安,1,1,5.8306
宝安,1,1,8.8131
宝安,1,0,1.8213
宝安,1,0,13.5949
宝安,1,1,12.0277
宝安,1,1,9.6746
宝安,0,0,1.0937
宝安,1,1,9.4676
宝安,1,1,7.3527
