district,roomnum,hall,AREA,C_floor,school,subway,per_price,total_price,source_file,is_near_subway
宝安,3,2,66.0,middle,0,1,1.4848,98.0,sz_baoan_2025.xlsx,1
宝安,3,2,85.0,middle,0,1,1.1176,95.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.0,high,0,0,0.955,85.0,sz_baoan_2025.xlsx,0
宝安,3,1,112.84,low,0,0,0.6203,70.0,sz_baoan_2025.xlsx,0
宝安,3,2,98.21,high,0,0,0.6923,68.0,sz_baoan_2025.xlsx,0
宝安,3,2,89.0,middle,0,1,9.8876,880.0,sz_baoan_2025.xlsx,1
宝安,4,1,118.6,low,0,1,3.7942,450.0,sz_baoan_2025.xlsx,1
宝安,3,2,90.0,middle,0,1,1.2888,116.0,sz_baoan_2025.xlsx,1
宝安,3,2,93.8,low,0,1,3.8166,358.0,sz_baoan_2025.xlsx,1
宝安,3,2,86.0,middle,0,0,1.3372,115.0,sz_baoan_2025.xlsx,0
宝安,7,2,175.0,high,0,1,3.6342,636.0,sz_baoan_2025.xlsx,1
宝安,2,2,81.2,high,0,1,3.6699,298.0,sz_baoan_2025.xlsx,1
宝安,4,2,133.0,middle,0,1,6.6165,880.0,sz_baoan_2025.xlsx,1
宝安,3,2,76.0,middle,0,1,1.3157,100.0,sz_baoan_2025.xlsx,1
宝安,3,2,96.0,middle,0,0,1.3541,130.0,sz_baoan_2025.xlsx,0
宝安,3,2,93.0,middle,0,1,1.215,113.0,sz_baoan_2025.xlsx,1
宝安,5,2,215.4,high,0,1,3.1104,670.0,sz_baoan_2025.xlsx,1
宝安,4,2,120.0,middle,0,1,4.5128,541.54,sz_baoan_2025.xlsx,1
宝安,2,2,71.61,low,0,1,5.3065,380.0,sz_baoan_2025.xlsx,1
宝安,3,2,101.56,middle,1,1,6.3509,645.0,sz_baoan_2025.xlsx,1
宝安,3,2,88.47,low,1,1,5.0864,450.0,sz_baoan_2025.xlsx,1
宝安,2,2,78.6,middle,0,1,3.5241,277.0,sz_baoan_2025.xlsx,1
宝安,3,2,106.57,middle,1,1,4.6917,500.0,sz_baoan_2025.xlsx,1
宝安,2,2,80.33,middle,0,1,7.5936,610.0,sz_baoan_2025.xlsx,1
宝安,3,2,75.47,middle,1,1,6.8636,518.0,sz_baoan_2025.xlsx,1
宝安,2,2,76.17,high,1,1,5.5796,425.0,sz_baoan_2025.xlsx,1
宝安,5,2,223.8,low,1,0,5.5853,1250.0,sz_baoan_2025.xlsx,0
宝安,3,2,88.7,high,1,0,5.2874,469.0,sz_baoan_2025.xlsx,0
宝安,3,2,96.1,middle,1,1,5.463,525.0,sz_baoan_2025.xlsx,1
宝安,4,2,130.3,middle,1,1,8.3499,1088.0,sz_baoan_2025.xlsx,1
宝安,6,2,225.38,middle,1,1,10.8705,2450.0,sz_baoan_2025.xlsx,1
宝安,6,2,173.75,middle,1,1,10.4748,1820.0,sz_baoan_2025.xlsx,1
宝安,4,2,169.07,middle,1,1,11.5336,1950.0,sz_baoan_2025.xlsx,1
宝安,3,2,100.08,high,0,1,10.2917,1030.0,sz_baoan_2025.xlsx,1
宝安,3,2,79.34,low,0,1,6.9321,550.0,sz_baoan_2025.xlsx,1
宝安,3,2,121.41,middle,0,1,6.3092,766.0,sz_baoan_2025.xlsx,1
宝安,5,2,250.4,low,0,1,10.2555,2568.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.58,low,0,1,9.8236,880.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.0,high,0,1,3.625,290.0,sz_baoan_2025.xlsx,1
宝安,6,2,174.55,middle,0,1,13.0621,2280.0,sz_baoan_2025.xlsx,1
宝安,4,2,94.56,low,1,1,9.412,890.0,sz_baoan_2025.xlsx,1
宝安,2,2,75.93,high,0,1,9.6141,730.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.87,high,0,1,10.1257,910.0,sz_baoan_2025.xlsx,1
宝安,5,2,297.75,low,0,1,9.6994,2888.0,sz_baoan_2025.xlsx,1
宝安,5,2,255.17,middle,1,1,11.7568,3000.0,sz_baoan_2025.xlsx,1
宝安,4,2,120.0,middle,0,0,7.0833,850.0,sz_baoan_2025.xlsx,0
宝安,3,2,89.0,middle,0,1,6.4044,570.0,sz_baoan_2025.xlsx,1
宝安,4,1,143.31,middle,0,1,5.7218,820.0,sz_baoan_2025.xlsx,1
宝安,5,2,169.07,middle,1,1,12.409,2098.0,sz_baoan_2025.xlsx,1
宝安,3,2,126.47,middle,1,1,12.493,1580.0,sz_baoan_2025.xlsx,1
宝安,3,1,84.18,low,0,1,7.1275,600.0,sz_baoan_2025.xlsx,1
宝安,4,2,110.29,low,0,0,3.7446,413.0,sz_baoan_2025.xlsx,0
宝安,3,2,113.64,middle,1,1,11.6156,1320.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.87,high,0,0,3.8951,315.0,sz_baoan_2025.xlsx,0
宝安,5,3,342.49,high,1,1,10.2192,3500.0,sz_baoan_2025.xlsx,1
宝安,5,2,144.22,high,0,0,3.9522,570.0,sz_baoan_2025.xlsx,0
宝安,2,2,76.3,high,0,1,1.0222,78.0,sz_baoan_2025.xlsx,1
宝安,3,2,95.0,high,1,0,6.1789,587.0,sz_baoan_2025.xlsx,0
宝安,5,2,130.62,low,1,1,13.6273,1780.0,sz_baoan_2025.xlsx,1
宝安,4,2,126.45,middle,0,1,8.3827,1060.0,sz_baoan_2025.xlsx,1
宝安,4,2,250.63,low,0,1,9.9748,2500.0,sz_baoan_2025.xlsx,1
宝安,3,1,88.0,low,0,1,7.159,630.0,sz_baoan_2025.xlsx,1
宝安,3,2,81.13,middle,1,1,6.9025,560.0,sz_baoan_2025.xlsx,1
宝安,5,2,240.15,high,0,1,9.9937,2400.0,sz_baoan_2025.xlsx,1
